"Source:","C:\GitHubProjects\PGKB\PCB\Rev 02.00\000018 PGKB\000018 PGKB.kicad_sch"
"Date:","24/01/2024 22.51.38"
"Tool:","Eeschema 7.0.6"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","147"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Code","DNP","MFG_PartNo","Manufacturer","Price","Sim.Enable","Supplier","Supplier_PartNo","Value"
"18","1","J2","BM04B-SRSS-TB","KD_Connector_Rectangular:JST_PH_1X04_S4B-PH-SM4-TB","KD_Connector_Rectangular:JST_PH_S4B-PH-SM4-TB_1x04-1MP_P2.00mm_Horizontal","https://www.jst-mfg.com/product/pdf/eng/ePH.pdf","","F","S4B-PH-SM4-TB","JST Sales America Inc.","0.7","","Digi-Key","455-S4B-PH-SM4-TBCT-ND","S4B-PH-SM4-TB"
"19","4","R1, R2, R26, R27","R_0603_5100_1%","KD_Resistor:R_0603_5100_1%","KD_Resistor:RESC1608X55N","https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf","5k1","F","RMCF0603JT5K10","Stackpole Electronics Inc","0.01","","Digi-Key","RMCF0603JT5K10CT-ND","R_0603_5100_1%"
"20","2","R3, R4","R_0603_10_5%","KD_Resistor:R_0603_10_5%","KD_Resistor:RESC1608X55N","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773204-3&DocType=DS&DocLang=English","10","F","WR06X100 JTL","Walsin Technology Corporation","0.01","","Digi-Key","1292-WR06X100JTLCT-ND","R_0603_10_5%"
"21","16","R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R23, R25, R28","1k","KD_Resistor:R_0603_1k_1%","KD_Resistor:RESC1608X55N","https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","1k","F","RMCF0603JT1K00","Stackpole Electronics Inc","0.01","","Digi-Key","RMCF0603JT1K00CT-ND","1k"
"22","6","R18, R19, R20, R21, R22, R29","10k","KD_Resistor:R_0603_10k_1%","KD_Resistor:RESC1608X55N","https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf","10k","F","RMCF0603FT10K0","Stackpole Electronics Inc","0.01","","Digi-Key","RMCF0603FT10K0CT-ND","10k"
"23","1","R24","R_0603_DNP","KD_Resistor:R_0603_DNP","KD_Resistor:RESC1608X55N_DNP","","DNP","T","DNP","DNP","0.00","","DNP","DNP","R_0603_DNP"
"24","11","R30, R31, R34, R35, R36, R37, R38, R39, R40, R41, R42","100k","KD_Resistor:R_0603_100k_1%","KD_Resistor:RESC1608X55N","https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf","","F","RMCF0603FT100K","Stackpole Electronics Inc","0.01","","Digi-Key","RMCF0603FT100KCT-ND","100k"
"25","2","R32, R33","R_0603_360_1%","KD_Resistor:R_0603_360_1%","KD_Resistor:RESC1608X55N","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RT_1-to-0.01_RoHS_L_12.pdf","360","F","RT0603FRE07360RL","YAGEO","0.02","","Digi-Key","13-RT0603FRE07360RLCT-ND","R_0603_360_1%"
"26","11","S1, S2, S3, S4, S5, S6, S7, S8, S9, S10, S11","4954","KD_Switch:Button_keyboard_socket_Adafruit_4958","KD_Switch:SWITCH_BUTTON_Kailh_mx_socket","https://cdn-shop.adafruit.com/product-files/4954/4954_CPG1511F01S03-BOX_Brown.pdf","","F","4954","Adafruit","0.5","","Digi-Key","1528-4954-ND","4954"
"27","2","S12, S13","430181038816","KD_Switch:Button_tactile_45x38_430181038816","KD_Switch:SW_Push_1P1T_NO_Wurth_430181038816","https://www.mouser.fi/datasheet/2/445/430181038816-1717160.pdf","","F","430181038816","Wurth Elektronik","0.5","","Mouser","710-430181038816","430181038816"
"28","1","S20","PEC11R-4215K-S0012","KD_Switch:Encoder_Incremental_Bourns_PEC11R-4215K-S0012","KD_Switch:RotaryEncoder_Bourns_Vertical_PEC11R-4x15f-Sxxxx","https://www.bourns.com/docs/Product-Datasheets/PEC11R.pdf","","F","PEC11R-4215K-S0012","Bourns Inc.","1.9","","Digi-Key","PEC11R-4215K-S0012-ND","PEC11R-4215K-S0012"
"29","1","S99","4954","KD_Switch:Button_keyboard_no_footprint_Adafruit_4958","KD_Switch:SWITCH_BUTTON_Kailh_mx_socket","https://cdn-shop.adafruit.com/product-files/4954/4954_CPG1511F01S03-BOX_Brown.pdf","","F","4954","Adafruit","0.5","","Digi-Key","1528-4954-ND","4954"
"30","14","TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP11, TP12, TP13, TP14, TP15, TP16","TP D2.5 mm H0.9mm","KD_Connector_Pads:TestPoint_2.5mm_H0.9","KD_Connector_Pads:TestPoint_Pad_D2.5mm_H0.9mm","DNP","DNP","T","DNP","DNP","0.00","","DNP","DNP","TP D2.5 mm H0.9mm"
"31","1","TP9","TestPoint_1.5mm_Round","KD_Connector_Pads:TestPoint_1.5mm_Round","KD_Connector_Pads:TestPoint_Pad_D1.5mm","DNP","DNP","T","DNP","DNP","0.00","","DNP","DNP","TestPoint_1.5mm_Round"
"32","3","U1, U2, U3","SN74HCS365PWR","KD_IC_Buffer_Driver_Interface:Schmitt_6CH_SN74HCS365PWR","KD_Package_SO:SOP65P600X150-16N","https://www.ti.com/lit/ds/symlink/sn74hcs365.pdf","SN74HCS365PWR","F","SN74HCS365PWR","Texas Instruments","0.4","","Digi-Key","296-SN74HCS365PWRCT-ND","SN74HCS365PWR"
"33","1","U4","W25Q80DVSSIG","KD_IC_Memory:FLASH_8MBit_104MHz_W25Q80DVSSIG","KD_Package_SO:SOIC127P790X195-8N","https://www.winbond.com/resource-files/w25q80dv%20dl_revh_10022015.pdf","","F","W25Q80DVSSIG","Winbond Electronics","0.5","","Digi-Key","W25Q80DVSSIG-ND","W25Q80DVSSIG"
"34","1","U5","RP2040","KD_IC_MCU:RPi_RP2040","Package_DFN_QFN:QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm","datasheet","","F","SC0914(13)","Raspberry Pi","0.66","","Digi-Key","2648-SC0914(13)CT-ND","RP2040"
"35","1","U6","MCP1825T-3302E/DC","KD_IC_Regulator_DC_Converter:Regulator_3v3_500mA_0.5%_MCP1825T-3302E/DC","KD_Package_TO_SOT_SMD:SOT127P700X180-6N","https://ww1.microchip.com/downloads/en/DeviceDoc/22056b.pdf","","F","MCP1825T-3302E/DC","Microchip Technology","0.7","","Digi-Key","MCP1825T-3302E/DCCT-ND","MCP1825T-3302E/DC"
"36","1","U7","CAT811TTBI-GT3","KD_IC_Other:Supervisor_CAT811TTBI-GT3","KD_Package_TO_SOT_SMD:SOT-143_TO-253_M","https://www.onsemi.com/pdf/datasheet/cat811-d.pdf","","F","CAT811TTBI-GT3","onsemi","0.5","","Digi-Key","CAT811TTBI-GT3OSCT-ND","CAT811TTBI-GT3"
"37","1","Y1","12 MHz","KD_Oscillator:Crystal_12M_RH100-12.000-18-2020-EXT-TR","KD_Oscillator:OSCCC320X250X70_M","https://www.raltron.com/webproducts/specs/CRYSTAL/RH100-12.000-18-2020-EXT-TR.pdf","","F","RH100-12.000-18-2020-EXT-TR","Raltron Electronics","0.2","","Digi-Key","2151-RH100-12.000-18-2020-EXT-TRCT-ND","12 MHz"
